"SPACK","Ticker","Merger","Up-Front UW fee","Deferred UW fee","Number of underwriters","CEO's age","IPO Proceeds, $M","IPO Sector","IPO Geography","BCMA","Team","Age of the team"
"AgileThought  Inc. - Class A","AGIL","1","2.25","3.5","1","51","80.5","General","LatAm","1","8","59.25"
"Xos  Inc.","XOS","1","2","3.5","2","","375","Industrial","Global","0","5","54.4"
"Spire Global  Inc. Class A","SPIR","1","2","3.5","1","61","230","Technology","Global","0","5","53.2"
"Airspan Networks Holdings Inc.","MIMO","1","2","3.5","2","51","115","Travel & Hospitality","Global","0","8","58"
"Momentus Inc. - Class A","MNTS","1","2","4","1","41","172.5","Cannabis","Global","0","5","64"
"Surrozen  Inc.","SRZN","1","2","3.5","1","44","92","Healthcare","Global","0","3","47.33333333"
"Joby Aviation  Inc.","JOBY","1","2","3.5","1","43","690","Consumer","Global","0","9","51.55555556"
"Tango Therapeutics  Inc.","TNGX","1","2","3.5","1","42","166.75","Healthcare","Global","0","6","56.83333333"
"Hippo Holdings Inc.","HIPO","1","2","3.5","2","44","230","Consumer","Global","0","7","51.57142857"
"Rover Group  Inc. - Class A","CCCS","1","2","3.5","3","41","690","Technology","Global","0","6","51"
"CCC Intelligent Solutions Holdings Inc.","ROVR","1","2","3.5","8","50","275","Technology","Global","0","8","47.875"
"Cyxtera Technologies  Inc. - Class A","CYXT","1","2","4.5","3","42","404.23","General","Global","0","6","52"
"Reservoir Media  Inc..","DOMA","1","2","3.5","3","55","345","General","Global","0","5","46.8"
"Doma Holdings  Inc.","RSVR","1","1","4.5","2","58","115","General","Global","1","7","54.14285714"
"Lucid Group  Inc.","LCID","1","2","3.5","8","56","2070","General","Global","0","2","58.5"
"Microvast Holdings  Inc.","MVST","1","2","3.5","3","69","276","Cannabis","Global","1","8","49.5"
"Matterport  Inc. - Class A","MTTR","1","2","3.5","2","56","345","General","Global","0","5","60.8"
"Sema4 Holdings Corp. - Class A","SMFR","1","2","3.5","1","47","442.75","Healthcare","Global","0","8","44.5"
"Berkshire Grey  Inc. - Class A","BGRY","1","2","3.5","1","57","287.5","Financial","Global","0","5","57.4"
"MarketWise  Inc. - Class A","MKTW","1","2","3.5","3","41","229.78","Real Estate","Global","1","6","58.5"
"Faraday Future Intelligent Electric Inc.","FFIE","1","2","3.5","2","43","414","Technology","Global","0","8","44.125"
"OppFi Inc. Class A","OPFI","1","0.5","3.5","2","45","237.75","Financial","Global","0","7","53.85714286"
"Stryve Foods  Inc. - Class A","SNAX","1","2.5","3","2","51","108","Consumer","LatAm","1","7","47.28571429"
"The Beachbody Company  Inc. Class A","BODY","1","2","3.05","2","62","300","Technology","Global","0","10","49.8"
"Hyzon Motors Inc. - Class A","CELU","1","2","3.5","1","62","287.5","General","Global","0","7","63"
"Holley Inc.","EVLV","1","2","3.5","2","54","172.5","Industrial","Global","0","5","46.6"
